symbol,timeframe,start_ts,decision_ts,exit_ts,entry_price,exit_price,sig_trend_direction,sig_recent_momentum,sig_volume_relative,sig_price_vs_ma25,sig_ma_cross_7_25,sig_rsi_zone,sig_support_resistance,bias_score,bias_direction,bias_strength,outcome_direction,outcome_pct,outcome_whipsaw,edu_score,coherence,rank_in_tf,diversity_tag
BNBUSDT,1d,2025-06-19,2025-11-12,2025-11-24,952.51001,865.26001,bearish_strong,indecisive,falling,far_below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-9.16,False,90,confirmed,14,confirmed_bearish
DOTUSDT,1d,2022-06-25,2022-11-18,2022-11-30,5.638,5.4619999,bearish_strong,indecisive,falling,below,recent_bearish_cross,neutral_low,mid_range,-5,bearish,strong,down,-3.12,False,90,confirmed,13,confirmed_bearish
ETHUSDT,1d,2021-12-27,2022-05-22,2022-06-03,2042.63,1774.15,bearish_strong,mixed,normal,far_below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-13.14,False,90,confirmed,12,confirmed_bearish
XRPUSDT,1d,2021-02-17,2021-07-13,2021-07-25,0.61919999,0.60640001,bearish_strong,indecisive,falling,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-2.07,False,90,confirmed,11,confirmed_bearish
ETHUSDT,4h,2022-08-22 00:00:00,2022-09-15 08:00:00,2022-09-17 08:00:00,1590.66,1419.13,bearish_strong,mixed,rising,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-10.78,False,90,confirmed,14,confirmed_bearish
ETHUSDT,4h,2022-08-23 00:00:00,2022-09-16 08:00:00,2022-09-18 08:00:00,1477.63,1433.4301,bearish_strong,indecisive,falling,far_below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-2.99,False,90,confirmed,13,confirmed_bearish
ETHUSDT,4h,2022-08-25 00:00:00,2022-09-18 08:00:00,2022-09-20 08:00:00,1433.4301,1355.51,bearish_strong,mixed,falling,far_below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-5.44,False,90,confirmed,12,confirmed_bearish
LTCUSDT,4h,2023-03-26 08:00:00,2023-04-19 16:00:00,2023-04-21 16:00:00,93.220001,85.440002,bearish_strong,accelerating_down,normal,far_below,fresh_bearish_cross,neutral_low,mid_range,-8,bearish,strong,down,-8.35,False,90,confirmed,11,confirmed_bearish
LINKUSDT,1h,2021-01-27 08:00:00,2021-02-02 10:00:00,2021-02-02 22:00:00,23.292,23.846001,bullish_strong,mixed,normal,above,ma7_above_stable,neutral_high,mid_range,5,bullish,strong,up,2.38,False,90,confirmed,17,confirmed_bullish
LINKUSDT,1h,2021-01-27 20:00:00,2021-02-02 22:00:00,2021-02-03 10:00:00,23.846001,24.809999,sideways,accelerating_up,normal,far_above,fresh_bullish_cross,neutral_high,near_resistance,5,bullish,strong,up,4.04,False,90,confirmed,16,confirmed_bullish
DOGEUSDT,1h,2023-10-03 03:00:00,2023-10-09 05:00:00,2023-10-09 17:00:00,0.06058,0.058680002,sideways,mixed,normal,far_below,ma7_below_stable,neutral_low,breaking_support,-5,bearish,strong,down,-3.14,False,90,confirmed,15,confirmed_bearish
LINKUSDT,1h,2025-03-28 02:00:00,2025-04-03 04:00:00,2025-04-03 16:00:00,13.217,12.436,bearish_strong,exhausted_up,falling,below,recent_bearish_cross,neutral_low,mid_range,-6,bearish,strong,down,-5.91,False,90,confirmed,14,confirmed_bearish
ETHUSDT,1h,2022-02-13 00:00:00,2022-02-19 02:00:00,2022-02-19 14:00:00,2815.75,2727.0901,bearish_strong,mixed,falling,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-3.15,False,90,confirmed,13,confirmed_bearish
ETHUSDT,1h,2022-02-11 12:00:00,2022-02-17 14:00:00,2022-02-18 02:00:00,2972.78,2903.0601,bearish_strong,accelerating_down,rising,far_below,ma7_below_stable,neutral_low,near_support,-6,bearish,strong,down,-2.35,False,90,confirmed,12,confirmed_bearish
ETHUSDT,1h,2022-02-05 06:00:00,2022-02-11 08:00:00,2022-02-11 20:00:00,3068.5701,2917.3,bearish_strong,mixed,dry,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-4.93,False,90,confirmed,11,confirmed_bearish
LTCUSDT,1h,2024-06-11 14:00:00,2024-06-17 16:00:00,2024-06-18 04:00:00,76.769997,73.389999,bearish_strong,mixed,climactic,far_below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-4.4,False,90,confirmed,10,confirmed_bearish
LINKUSDT,1h,2021-01-20 14:00:00,2021-01-26 16:00:00,2021-01-27 04:00:00,22.653999,22.202,bearish_strong,mixed,rising,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-2.0,False,90,confirmed,9,confirmed_bearish
ETHUSDT,1h,2022-03-04 12:00:00,2022-03-10 14:00:00,2022-03-11 02:00:00,2593.3601,2527.49,bearish_strong,mixed,rising,below,ma7_below_stable,neutral_low,mid_range,-5,bearish,strong,down,-2.54,False,90,confirmed,8,confirmed_bearish
ETHUSDT,1h,2022-03-04 00:00:00,2022-03-10 02:00:00,2022-03-10 14:00:00,2660.72,2593.3601,bearish,mixed,normal,below,fresh_bearish_cross,neutral_low,mid_range,-5,bearish,strong,down,-2.53,False,90,confirmed,7,confirmed_bearish
DOGEUSDT,1h,2023-08-11 03:00:00,2023-08-17 05:00:00,2023-08-17 17:00:00,0.06825,0.065729998,bearish_strong,exhausted_up,falling,below,ma7_below_stable,neutral_low,mid_range,-6,bearish,strong,down,-3.69,False,90,confirmed,6,confirmed_bearish
DOGEUSDT,1h,2023-08-11 15:00:00,2023-08-17 17:00:00,2023-08-18 05:00:00,0.065729998,0.06168,bearish_strong,accelerating_down,rising,far_below,ma7_below_stable,oversold,mid_range,-5,bearish,strong,down,-6.16,False,90,confirmed,5,confirmed_bearish
